,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
92-59959,0.0063143314901529,0.0144818682864287,0.984783405192178,0.9815698951053954,0.9831968420868276,0.9982771572750836,0.969510083830152,0.0006766864166777,0.3681950324354964,p3t2
92-59960,0.0109129226045166,0.0218163464533846,0.9579909661932066,1.0102658904853994,0.8804670765287791,1.0247696129193318,0.9989746671774156,-0.0037675494409891,1.2583066344263152e-07,p3t2
92-60037,0.0287712044471748,0.0565112466875891,0.8133637220295282,0.8357964685602304,0.5794543079764253,0.9818588797526672,0.7839852694221384,-0.3095912253862455,-5.225866539731161e-16,p3t2
92-60053,0.1161015705287039,0.1673338392371758,0.4301075746791104,0.9348499709400176,0.5696052961938276,0.8492274915556314,0.7978816053610905,0.0018235185645902,0.104490629320602,p3t2
92-60100,0.0119244743641628,0.0222794047332846,0.9691560003297798,0.919045770368882,0.8338400437278852,0.960594601761742,0.9077507523154276,-2.501517831502788e-11,3.421166123546431e-05,p3t1
92-60116,0.0691146283735062,0.0734112499701733,0.6468719662933928,0.7980954629004269,2.0573820938581995,1.0159425920128276,1.003867809222131,186.99060575595743,79.72458892999049,p3t2
92-60228,0.0872574095326249,0.1266191477218836,0.6505228224959911,0.8994994165073128,0.5505378846815543,1.0169260253279515,0.8425695559198066,0.0035436209261466,0.0364857353687552,p3t1
92-60244,0.1191791006343433,0.2032543537651845,-0.0112743133658033,0.4174963237741023,0.1952625583260555,0.4391434294132046,0.3589809278063272,-2.66405181122596e-07,2.563512590016361e-07,p3t1
92-60253,1.6290212778937778,1.7297869606101963,-25.88084915105474,0.8528050703288472,-5.164641797705955,-0.3911790088219282,-0.9948372262476533,-38.84767642447184,-9.02524138968623,p3t1
92-60254,0.126832978276077,0.1885187165044316,0.5582657292116484,1.1140835965579985,0.6531966893497542,1.1394424110473296,1.0157316508805074,-2.2522853312795997e-13,9.304144668416724e-07,p3t2
92-60303,0.01942073463986,0.043535135338161,0.8511455330682255,0.8137502596599334,0.7106806626928727,0.9182839387974284,0.8018087096612357,-7.80698293201165e-11,5.0961872374895455e-05,p3t1
92-60484,0.0177434390103006,0.0363926742498927,0.9257137741006036,1.0914643348464883,0.9099440310583846,1.087028575601695,1.0988234811265745,-4.338140486097585e-12,-4.402156241899416e-16,p3t2
92-60485,0.0145272022361007,0.0267816510459698,0.9476103031532352,0.9780252786823768,0.831790291140141,1.0662763297703035,0.9555300571605698,-8.786065256049183e-12,1.0782339381221258e-07,p3t1
92-60541,0.0230170930047209,0.0444831874825381,0.8951869606477555,0.966995441264952,0.7118100570785044,1.0832342035398643,0.90945194394702,-5.473034072441975e-12,-1.2237274388017429e-15,p3t2
92-60716,0.0079511161562737,0.0191054359685538,0.9619222711555784,0.9280641352898592,1.1023515017545122,0.9334637297378168,0.9545631289279072,-0.0076684542041379,-3.1475271714209815e-18,p3t2
92-60972,0.0108550169904584,0.0202193343546468,0.9813474050675786,0.9977868658254544,0.9187546685370568,1.035182623083843,0.988130869449014,-0.0018987810070323,0.0005618909766267,p3t2
92-61209,0.128931933539346,0.192831296176903,0.5872574202289167,0.7692314090312724,0.4812673592572816,0.7091097701905598,0.6868064932721545,-4.8679208002751614e-14,1.3635767622741587e-10,p3t2
92-61273,0.0154912914249259,0.0303468899583819,0.940695579683763,0.9668477644574672,0.8137674026223697,0.9739544118231792,0.9734491858056168,-5.7059111619331286e-12,-1.6006703264113773e-15,p3t2
92-61397,0.1503680229522602,0.1590347205679939,0.2280905068834036,1.5046558683623814,0.6215569335101463,1.074350141277722,1.1512595018102167,5.084306610131626e-14,1.984731637390125e-05,p3t2
92-61619,0.0300577634424454,0.0588715337916425,0.8500086611375132,0.8147253487620479,0.6404294769767566,0.934017483214436,0.7939895607781782,-7.795316490120417e-12,4.1205552173279776e-06,p3t1
92-62887,0.1030684137312854,0.1095002436693906,0.8577507920064887,0.8386162060840935,1.1926302350155336,1.025277503421925,0.9805650357896424,1.4946649581404807,1.437606031511035,p3t1
92-63086,12.264052354542123,13.692252265585672,-4704.526092323653,31.20555998023667,-53.09327003223515,-0.0186120687215718,-0.1029416603801096,-260.5404852522742,-93.5328825758526,p3t1
92-63279,0.4831614555083848,0.7857519824393502,-0.267236410817036,0.1833538523596934,0.1331897129475312,0.1686947065156074,0.1699372215360256,0.0001641189447091,0.0373396962048734,p3t2
